scenario (-),iteration (-),cycle_id (-),bus (-),v_field (pu),v_dt (pu),drift_signed (pu),drift_abs (pu),drift (%)
baseline,iteration_1,80,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,80,2,1.010079,1.009741,-0.000338,0.000338,0.033463
baseline,iteration_1,80,3,1.008626,1.008147,-0.000479,0.000479,0.047490
baseline,iteration_1,80,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,80,5,1.006838,1.007290,0.000452,0.000452,0.044893
baseline,iteration_1,81,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,81,2,1.011147,1.010074,-0.001073,0.001073,0.106117
baseline,iteration_1,81,3,1.009248,1.008623,-0.000625,0.000625,0.061927
baseline,iteration_1,81,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,81,5,1.007165,1.007162,-0.000003,0.000003,0.000298
baseline,iteration_1,82,1,1.020000,1.020000,0.000000,0.000000,0.000000
