Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840


Memulai Modbus Gateway di 0.0.0.0:5020[2026-05-19 14:30:54] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:31:59] [iter 17] [Bus 3] P/Q/CMD -> V_in=1.0040 pu, I_in=360.8667 A, PF=0.9010, V_out=1.0040 pu, I_out=360.8667 A, V_DT=1.0057 pu, P=62.1954 MW, Q=29.9463 MVar
[2026-05-19 14:31:59] [iter 17] [Bus 4] P/Q/CMD -> V_in=1.0110 pu, I_in=697.2000 A, PF=0.8950, V_out=1.0110 pu, I_out=697.2000 A, V_DT=1.0100 pu, P=120.1946 MW, Q=59.9047 MVar
[2026-05-19 14:31:59] [iter 17] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=700.3000 A, PF=0.9611, V_out=1.0060 pu, I_out=700.3000 A, V_DT=1.0072 pu, P=129.0042 MW, Q=37.0732 MVar


[2026-05-19 14:32:03] [iter 18] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=796.3333 A, PF=0.9625, V_out=1.0200 pu, I_out=796.3333 A, V_DT=1.0200 pu, P=148.9530 MW, Q=41.9826 MVar
[2026-05-19 14:32:03] [iter 18] [Bus 2] P/Q/CMD -> V_in=1.0170 pu, I_in=386.8000 A, PF=0.9292, V_out=1.0170 pu, I_out=386.8000 A, V_DT=1.0109 pu, P=69.6418 MW, Q=27.6991 MVar
[2026-05-19 14:32:03] [iter 18] [Bus 3] P/Q/CMD -> V_in=1.0050 pu, I_in=412.1000 A, PF=0.8989, V_out=1.0050 pu, I_out=412.1000 A, V_DT=1.0081 pu, P=70.9306 MW, Q=34.5739 MVar
[2026-05-19 14:32:03] [iter 18] [Bus 4] P/Q/CMD -> V_in=1.0090 pu, I_in=458.2667 A, PF=0.9070, V_out=1.0090 pu, I_out=458.2667 A, V_DT=1.0100 pu, P=79.9043 MW, Q=37.1005 MVar
[2026-05-19 14:32:03] [iter 18] [Bus 5] P/Q/CMD -> V_in=0.9990 pu, I_in=461.3333 A, PF=0.9875, V_out=0.9990 pu, I_out=461.3333 A, V_DT=1.0072 pu, P=86.7103 MW, Q=13.8402 MVar


[2026-05-19 14:32:07] [iter 19] [Bus 1] P/Q/CMD -> V_in=1.0230 pu, I_in=1193.0667 A, PF=0.9625, V_out=1.0230 pu, I_out=1193.0667 A, V_DT=1.0200 pu, P=223.8177 MW, Q=63.0833 MVar
[2026-05-19 14:32:07] [iter 19] [Bus 2] P/Q/CMD -> V_in=1.0090 pu, I_in=387.7000 A, PF=0.9292, V_out=1.0090 pu, I_out=387.7000 A, V_DT=1.0099 pu, P=69.2547 MW, Q=27.5452 MVar
[2026-05-19 14:32:07] [iter 19] [Bus 3] P/Q/CMD -> V_in=1.0090 pu, I_in=621.7333 A, PF=0.8989, V_out=1.0090 pu, I_out=621.7333 A, V_DT=1.0071 pu, P=107.4385 MW, Q=52.3691 MVar
[2026-05-19 14:32:07] [iter 19] [Bus 4] P/Q/CMD -> V_in=1.0040 pu, I_in=686.7333 A, PF=0.9070, V_out=1.0040 pu, I_out=686.7333 A, V_DT=1.0100 pu, P=119.1468 MW, Q=55.3212 MVar
[2026-05-19 14:32:07] [iter 19] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=463.0000 A, PF=0.9875, V_out=1.0060 pu, I_out=463.0000 A, V_DT=1.0085 pu, P=87.6333 MW, Q=13.9875 MVar


[2026-05-19 14:32:11] [iter 20] [Bus 1] P/Q/CMD -> V_in=1.0230 pu, I_in=1124.5667 A, PF=0.9716, V_out=1.0230 pu, I_out=1124.5667 A, V_DT=1.0200 pu, P=212.9618 MW, Q=51.8660 MVar
[2026-05-19 14:32:11] [iter 20] [Bus 2] P/Q/CMD -> V_in=1.0140 pu, I_in=566.7000 A, PF=0.9487, V_out=1.0140 pu, I_out=566.7000 A, V_DT=1.0083 pu, P=103.8660 MW, Q=34.6159 MVar
[2026-05-19 14:32:11] [iter 20] [Bus 3] P/Q/CMD -> V_in=1.0100 pu, I_in=356.2333 A, PF=0.9456, V_out=1.0100 pu, I_out=356.2333 A, V_DT=1.0045 pu, P=64.8211 MW, Q=22.3016 MVar
[2026-05-19 14:32:11] [iter 20] [Bus 4] P/Q/CMD -> V_in=1.0100 pu, I_in=689.7333 A, PF=0.9076, V_out=1.0100 pu, I_out=689.7333 A, V_DT=1.0100 pu, P=120.4621 MW, Q=55.7231 MVar
[2026-05-19 14:32:11] [iter 20] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=701.3333 A, PF=0.9652, V_out=1.0070 pu, I_out=701.3333 A, V_DT=1.0085 pu, P=129.8747 MW, Q=35.1885 MVar


[2026-05-19 14:32:15] [iter 21] [Bus 1] P/Q/CMD -> V_in=1.0220 pu, I_in=753.9333 A, PF=0.9716, V_out=1.0220 pu, I_out=753.9333 A, V_DT=1.0200 pu, P=142.6345 MW, Q=34.7381 MVar
[2026-05-19 14:32:15] [iter 21] [Bus 2] P/Q/CMD -> V_in=1.0100 pu, I_in=382.2667 A, PF=0.9487, V_out=1.0100 pu, I_out=382.2667 A, V_DT=1.0090 pu, P=69.7863 MW, Q=23.2580 MVar
